date,avgTemp
2018-01-01,-18.9
2018-01-02,-19.1
2018-01-03,-11.4
2018-01-04,-13.9
2018-01-05,-15.2
2018-01-06,-14.8
2018-01-07,-8.4
2018-01-08,0.9
2018-01-09,-0.6
2018-01-10,2.7
2018-01-11,13.1
2018-01-12,-4.8
2018-01-13,-10.6
2018-01-14,-11.2
2018-01-15,-7.2
2018-01-16,-9.2
2018-01-17,-10.4
2018-01-18,-6.0
2018-01-19,0.1
2018-01-20,4.0
2018-01-21,4.6
2018-01-22,8.4
2018-01-23,1.9
2018-01-24,-1.9
2018-01-25,-0.4
2018-01-26,5.0
2018-01-27,8.4
2018-01-28,1.8
2018-01-29,-2.6
2018-01-30,-6.1
2018-01-31,1.4
2018-02-01,-2.3
2018-02-02,-11.8
2018-02-03,-3.2
2018-02-04,-3.4
2018-02-05,-14.5
2018-02-06,-11.2
2018-02-07,-8.5
2018-02-08,-10.4
2018-02-09,-4.7
2018-02-10,-7.3
2018-02-11,-6.9
2018-02-12,-9.3
2018-02-13,-6.7
2018-02-14,0.1
2018-02-15,4.9
2018-02-16,2.1
2018-02-17,-4.1
2018-02-18,-2.7
2018-02-19,5.7
2018-02-20,14.9
2018-02-21,0.1
2018-02-22,0.7
2018-02-23,4.3
2018-02-24,2.3
2018-02-25,4.7
2018-02-26,4.7
2018-02-27,9.0
2018-02-28,10.6
2018-03-01,4.1
2018-03-02,3.1
2018-03-03,3.2
2018-03-04,3.2
2018-03-05,2.7
2018-03-06,1.7
2018-03-07,-0.6
2018-03-08,-2.3
2018-03-09,-1.2
2018-03-10,0.3
2018-03-11,1.3
2018-03-12,2.6
2018-03-13,-0.1
2018-03-14,-1.1
2018-03-15,4.2
2018-03-16,0.2
2018-03-17,2.9
2018-03-18,4.4
2018-03-19,4.8
2018-03-20,0.6
2018-03-21,0.7
2018-03-22,1.3
2018-03-23,2.0
2018-03-24,2.0
2018-03-25,1.0
2018-03-26,4.1
2018-03-27,9.4
2018-03-28,7.1
2018-03-29,7.2
2018-03-30,3.8
2018-03-31,6.7
2018-04-01,0.2
2018-04-02,-0.2
2018-04-03,3.8
2018-04-04,-0.1
2018-04-05,-0.2
2018-04-06,1.7
2018-04-07,-2.1
2018-04-08,-0.7
2018-04-09,0.4
2018-04-10,2.1
2018-04-11,8.8
2018-04-12,13.1
2018-04-13,6.3
2018-04-14,3.8
2018-04-15,1.8
2018-04-16,-0.8
2018-04-17,1.5
2018-04-18,1.6
2018-04-19,4.1
2018-04-20,8.1
2018-04-21,8.6
2018-04-22,10.1
2018-04-23,10.4
2018-04-24,12.6
2018-04-25,9.5
2018-04-26,9.1
2018-04-27,11.8
2018-04-28,5.8
2018-04-29,6.3
2018-04-30,13.4
2018-05-01,22.3
2018-05-02,24.9
2018-05-03,17.9
2018-05-04,18.6
2018-05-05,20.9
2018-05-06,16.8
2018-05-07,15.1
2018-05-08,20.3
2018-05-09,20.9
2018-05-10,18.9
2018-05-11,10.9
2018-05-12,8.0
2018-05-13,11.2
2018-05-14,16.7
2018-05-15,17.7
2018-05-16,16.6
2018-05-17,17.3
2018-05-18,13.9
2018-05-19,15.6
2018-05-20,10.7
2018-05-21,11.6
2018-05-22,15.0
2018-05-23,17.7
2018-05-24,21.8
2018-05-25,25.3
2018-05-26,26.1
2018-05-27,28.2
2018-05-28,28.2
2018-05-29,24.8
2018-05-30,24.1
2018-05-31,24.9
2018-06-01,21.6
2018-06-02,15.3
2018-06-03,19.2
2018-06-04,19.2
2018-06-05,19.4
2018-06-06,16.1
2018-06-07,21.9
2018-06-08,17.9
2018-06-09,18.9
2018-06-10,18.1
2018-06-11,17.8
2018-06-12,20.7
2018-06-13,23.7
2018-06-14,22.8
2018-06-15,23.6
2018-06-16,27.1
2018-06-17,29.9
2018-06-18,30.3
2018-06-19,21.6
2018-06-20,20.6
2018-06-21,18.8
2018-06-22,16.9
2018-06-23,20.1
2018-06-24,22.6
2018-06-25,20.5
2018-06-26,22.9
2018-06-27,22.7
2018-06-28,24.6
2018-06-29,27.8
2018-06-30,30.6
2018-07-01,29.5
2018-07-02,25.0
2018-07-03,25.4
2018-07-04,28.6
2018-07-05,27.4
2018-07-06,23.3
2018-07-07,21.4
2018-07-08,23.8
2018-07-09,26.3
2018-07-10,27.8
2018-07-11,25.1
2018-07-12,25.9
2018-07-13,27.7
2018-07-14,25.7
2018-07-15,26.8
2018-07-16,27.9
2018-07-17,24.8
2018-07-18,22.3
2018-07-19,24.3
2018-07-20,24.3
2018-07-21,21.9
2018-07-22,21.5
2018-07-23,22.4
2018-07-24,23.9
2018-07-25,26.0
2018-07-26,24.8
2018-07-27,21.2
2018-07-28,21.8
2018-07-29,22.2
2018-07-30,22.5
2018-07-31,22.7
2018-08-01,22.9
2018-08-02,24.9
2018-08-03,25.1
2018-08-04,27.8
2018-08-05,29.3
2018-08-06,25.3
2018-08-07,24.1
2018-08-08,23.3
2018-08-09,25.5
2018-08-10,24.5
2018-08-11,24.9
2018-08-12,25.9
2018-08-13,25.1
2018-08-14,26.2
